Mean time,std deviation,size,nprocesses
0.0029146,2.051124352912599e-05,245760.0,1.0
0.0066096,2.6675831758353783e-05,491520.0,1.0
0.0264264,0.0001559930197868559,1966080.0,1.0
0.0291005,6.554938765711126e-05,2457600.0,1.0
0.0661391,0.00028488416749424683,4915200.0,1.0
0.0808274,0.0003537359969745166,5898240.0,1.0
0.26476479999999997,0.0008211854304060116,19660800.0,1.0
0.29066539999999996,0.0006784718449902367,24576000.0,1.0
0.6616749000000001,0.0017936693892068793,49152000.0,1.0
0.8051022,0.003497788596623124,58982400.0,1.0
2.6473698000000003,0.004924730557773376,196608000.0,1.0
2.9045377,0.0027736368844292567,245760000.0,1.0
6.628103,0.02024925128382668,491520000.0,1.0
8.0589342,0.017664291688161356,589824000.0,1.0
26.5107336,0.06784822543032656,1966080000.0,1.0
29.102657,0.03129248361294886,2457600000.0,1.0
66.30256220000001,0.12008200162000374,4915200000.0,1.0
80.5139763,0.16865884833661404,5898240000.0,1.0
265.241327,0.3455913682371182,19660800000.0,1.0
802.37944,,58982400000.0,1.0
0.0019996629999999996,5.315434152854621e-05,245760.0,2.0
0.0037463989999999996,4.998762145660561e-05,491520.0,2.0
0.028999600000000004,0.0001229232823078415,1966080.0,2.0
0.015398630000000002,9.747486342642368e-05,2457600.0,2.0
0.03040093,0.00010342807538467395,4915200.0,2.0
0.04779606000000001,0.0004544764465232987,5898240.0,2.0
0.3129167,0.07860208877780113,19660800.0,2.0
0.1483028,0.000430625591436461,24576000.0,2.0
0.2977239,0.007354949904656037,49152000.0,2.0
0.4177269,0.0009648025071369696,58982400.0,2.0
4.35943,0.4708492368995503,196608000.0,2.0
1.479748,0.003437346521826247,245760000.0,2.0
2.954758,0.010629521573847469,491520000.0,2.0
4.114401,0.0036582128302097036,589824000.0,2.0
27.733839999999997,18.005291118767158,1966080000.0,2.0
14.77713,0.023598636966288566,2457600000.0,2.0
29.488760000000003,0.06522111450885963,4915200000.0,2.0
40.88007,0.07125877801677827,5898240000.0,2.0
136.1736,0.2384469193202819,19660800000.0,2.0
426.17480000000006,53.40981885550426,58982400000.0,2.0
0.0028924660000000002,0.003139073614152926,245760.0,4.0
0.009910427,0.000786866280014167,1966080.0,4.0
0.009248779,0.0006021156583885416,2457600.0,4.0
0.026390149999999994,0.0011472529559778879,5898240.0,4.0
0.07450406999999999,0.0008569310526524308,19660800.0,4.0
0.08092781,0.00040624101343906844,24576000.0,4.0
0.2118605,0.0032050278643267842,58982400.0,4.0
0.7138376,0.0038118616973861906,196608000.0,4.0
0.8018654000000002,0.002909571873813902,245760000.0,4.0
2.0625919999999995,0.002503982605548405,589824000.0,4.0
7.074630999999999,0.024641354783281534,1966080000.0,4.0
8.022077,0.030875675809068148,2457600000.0,4.0
20.52912,0.03983864120842124,5898240000.0,4.0
70.77528,0.3199022239511453,19660800000.0,4.0
205.3385,0.3930465762617911,58982400000.0,4.0
0.002391044,0.002883130787052313,245760.0,8.0
0.002518214,0.001675245882378663,491520.0,8.0
0.006115196999999999,0.001231785665221655,1966080.0,8.0
0.006853278,0.0022773080395589885,2457600.0,8.0
0.009615733,0.00040726293322482563,4915200.0,8.0
0.01577417,0.0012649633407512027,5898240.0,8.0
0.0356619,0.001982175752943103,19660800.0,8.0
0.04575569,0.002224185245307693,24576000.0,8.0
0.08093013000000002,0.0011455322489761898,49152000.0,8.0
0.108501,0.00040971155165012813,58982400.0,8.0
0.31945110000000004,0.0011384461583911515,196608000.0,8.0
0.4333369,0.0016765440942605727,245760000.0,8.0
0.7981448,0.0033254732929648223,491520000.0,8.0
1.047352,0.003045152066992899,589824000.0,8.0
3.1772889999999996,0.020973602694816174,1966080000.0,8.0
4.338955,0.020920502038802892,2457600000.0,8.0
7.9557519999999995,0.028268157507854864,4915200000.0,8.0
10.35018,0.022368718236759906,5898240000.0,8.0
31.387819999999998,0.1864323994255171,19660800000.0,8.0
103.35470000000001,0.20954132448437518,58982400000.0,8.0
0.007294581,0.005819969173533195,245760.0,16.0
0.010087523,0.011023419758603901,491520.0,16.0
0.013192755,0.008024803401048042,1966080.0,16.0
0.008213591000000001,0.004395617147076923,2457600.0,16.0
0.015998560000000002,0.006357746869142314,4915200.0,16.0
0.013786438000000002,0.006411628199894661,5898240.0,16.0
0.02544464,0.005761571232109056,19660800.0,16.0
0.03152386,0.0065096989328232375,24576000.0,16.0
0.05371777999999999,0.011113220470612669,49152000.0,16.0
0.06438100999999999,0.00803806410931416,58982400.0,16.0
0.17666339999999997,0.013923197566970344,196608000.0,16.0
0.248585,0.005356873860336413,245760000.0,16.0
0.4263203,0.004144747038253496,491520000.0,16.0
0.5287339,0.006320340944565851,589824000.0,16.0
1.6215879999999998,0.012240185909989739,1966080000.0,16.0
2.4425870000000005,0.032149208405668595,2457600000.0,16.0
4.245247999999999,0.013981322302748482,4915200000.0,16.0
5.217546,0.013720290084397091,5898240000.0,16.0
15.815769999999997,0.19763867733259494,19660800000.0,16.0
51.96855000000001,0.10136254239116146,58982400000.0,16.0
